"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"37","33","*","Mauro","Loddo","Italy","Europe","213,8","4F","90","90","S","1,0","6","6","3","","4F","90","90","S","0,5","6","3","1","0","4R","33,75","33,75","S","1,0","6","6","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"38","34","","André","Neves","Brazil","America","207,8","","","","","","","","","","4","170","170","S","1,0","7","7","4","0","","","","","","","","","","FG","37,75","33,75","S","1,0","3","3","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"39","35","*","Francisco","Prieto","Germany","Europe","205,6","4R","45","45","S","1,0","5","5","1","","4R","45","45","S","1,0","5","5","1","0","4R","33,75","33,75","S","1,0","6","6","2","0","","","","","","","","","","FG","16,0","10","S","1,0","4","4","2","6","FG","65,8","55,8","S","1,0","5","5","2","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","36","*","Kristtofferson","Miranda","Portugal","Europe","202,5","4F","90","90","S","1,0","6","6","4","","","","","","","","","","","4F","67,5","67,5","S","1,0","6","6","4","0","","","","","","","","","","4F","45","45","S","1,0","5","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","37","*","Danilo","Russo","Italy","Europe","201,0","4","170","170","S","1,0","8","8","5","","","","","","","","","","","FG","18","15","S","1,0","4","4","1","3","","","","","","","","","","FG","13,0","10","S","1,0","4","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","38","","Mohammed","Al-Salem","Qatar","Asia","198,0","","","","","","","","","","4F","45","90","R","0,3","6","2","2","0","FG","18","15","S","1,0","4","4","1","3","4F","135","135","S","0,8","4","3","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","S","1,0","7,0","7","4","0","","","","","","","","","","","","","","","","","","","","","","","",""
"43","39","","Greg","Van Dijk","Portugal","Europe","188,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","85","85","S","1,0","7","7","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","1,8","1,8","S","1,0","4,0","4","2","0","4F","100,8","4F","0,9","0,9","1,0","5","5","3","0","","","","",""
"44","","","José","Rodríguez","Spain","Europe","185,25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3,25","3,25","S","1,0","6,0","6","4","0","4","182","","","","","","","","","","","","",""
"45","","","Aquiles","Muñoz","Spain","Europe","182,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","182","","","","","","","","","","","","",""
"46","40","","Ramiro","Pascuet","Argentina","America","159,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","121,875","243,75","R","0,3","6","2","2","0","","","","","","","","","","","","","","","","","","","3","37,5","37,5","S","1,0","6","6","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
